timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674750180205,143,/object_info_1,200,OK,Home_Work_250_Threads 1-14,text,true,,230,163,72,72,http://162.55.220.72:5005/object_info_1?name=Nata&age=51&weight=56,143,0,47
1674750180210,144,/user_info_3,200,OK,Home_Work_250_Threads 1-27,text,true,,369,247,73,73,http://162.55.220.72:5005/user_info_3,144,0,46
1674750180210,145,/get_method,200,OK,Home_Work_250_Threads 1-55,text,true,,168,150,73,73,http://162.55.220.72:5005/get_method?name=Nata&age=51,145,0,46
1674750180214,143,/object_info_2,200,OK,Home_Work_250_Threads 1-2,text,true,,463,165,73,73,http://162.55.220.72:5005/object_info_2?name=Nata&age=51&salary=2000,143,0,46
1674750180218,140,/get_method,200,OK,Home_Work_250_Threads 1-56,text,true,,168,150,73,73,http://162.55.220.72:5005/get_method?name=Nata&age=51,140,0,42
1674750180222,136,/object_info_2,200,OK,Home_Work_250_Threads 1-5,text,true,,463,165,73,73,http://162.55.220.72:5005/object_info_2?name=Nata&age=51&salary=2000,136,0,44
1674750180218,142,/object_info_1,200,OK,Home_Work_250_Threads 1-15,text,true,,230,163,73,73,http://162.55.220.72:5005/object_info_1?name=Nata&age=51&weight=56,142,0,47
1674750180216,144,/user_info_2,200,OK,Home_Work_250_Threads 1-40,text,true,,463,247,73,73,http://162.55.220.72:5005/user_info_2,144,0,48
1674750180226,138,/object_info_1,200,OK,Home_Work_250_Threads 1-16,text,true,,230,163,74,74,http://162.55.220.72:5005/object_info_1?name=Nata&age=51&weight=56,138,0,43
1674750180231,134,/user_info_3,200,OK,Home_Work_250_Threads 1-28,text,true,,369,247,74,74,http://162.55.220.72:5005/user_info_3,134,0,42
1674750180226,141,/user_info_2,200,OK,Home_Work_250_Threads 1-41,text,true,,463,247,74,74,http://162.55.220.72:5005/user_info_2,141,0,46
1674750180231,137,/object_info_2,200,OK,Home_Work_250_Threads 1-4,text,true,,463,165,74,74,http://162.55.220.72:5005/object_info_2?name=Nata&age=51&salary=2000,137,0,43
1674750180235,134,/get_method,200,OK,Home_Work_250_Threads 1-58,text,true,,168,150,74,74,http://162.55.220.72:5005/get_method?name=Nata&age=51,134,0,43
1674750180227,143,/get_method,200,OK,Home_Work_250_Threads 1-57,text,true,,168,150,74,74,http://162.55.220.72:5005/get_method?name=Nata&age=51,143,0,47
1674750180242,131,/object_info_1,200,OK,Home_Work_250_Threads 1-18,text,true,,230,163,75,75,http://162.55.220.72:5005/object_info_1?name=Nata&age=51&weight=56,131,0,44
1674750180235,140,/object_info_2,200,OK,Home_Work_250_Threads 1-3,text,true,,463,165,75,75,http://162.55.220.72:5005/object_info_2?name=Nata&age=51&salary=2000,139,0,48
1674750180236,142,/user_info_2,200,OK,Home_Work_250_Threads 1-42,text,true,,463,247,76,76,http://162.55.220.72:5005/user_info_2,141,0,47
1674750180239,146,/user_info_3,200,OK,Home_Work_250_Threads 1-30,text,true,,369,247,76,76,http://162.55.220.72:5005/user_info_3,146,0,48
1674750180240,145,/user_info_3,200,OK,Home_Work_250_Threads 1-29,text,true,,369,247,77,77,http://162.55.220.72:5005/user_info_3,145,0,47
1674750180239,148,/object_info_1,200,OK,Home_Work_250_Threads 1-17,text,true,,230,163,77,77,http://162.55.220.72:5005/object_info_1?name=Nata&age=51&weight=56,148,0,47
